sale_type,sold_date,property_type,address,city,state_or_province,zip_code,price,beds,baths,location,sq_feet,lot_size,yr_built,days_on_mkt,price_per_sq_foot,hoa_per_month,status,next_open_house_start_time,next_open_house_end_time,url,source,mls_num,favorite,interested,latitude,longitude
MLS Listing,,Single Family Residential,1430 23rd Ave,San Francisco,CA,94122,1598000,3,2.5,Central Sunset,2025,2487,1937,3,789,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1430-23rd-Ave-94122/home/630532,San Francisco MLS,483552,N,Y,37.7609112,-122.4809768
MLS Listing,,Single Family Residential,41 Ord Ct,San Francisco,CA,94114,1695000,2,2.0,Corona Heights,1140,,,5,1487,,Active,,,http://www.redfin.com/CA/San-Francisco/41-Ord-Ct-94114/home/1652890,San Francisco MLS,483921,N,Y,37.7638822,-122.4412056
MLS Listing,,Condo/Co-op,1545 Pine St #207,San Francisco,CA,94109,769000,0,1.0,Van Ness/Civic Center,,,,6,,739,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1545-Pine-St-94109/unit-207/home/127579635,San Francisco MLS,483857,N,Y,37.7892442,-122.4212438
MLS Listing,,Single Family Residential,222 Bocana St,SAN FRANCISCO,CA,94110,1295000,2,1.0,SAN FRANCISCO,1200,1794,1929,10,1079,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/222-Bocana-St-94110/home/1439376,MLSListings,ML81747628,N,Y,37.7402324,-122.4182559
MLS Listing,,Condo/Co-op,888 7th St Unit LL-50,San Francisco,CA,94107,780000,1,1.5,Potrero Hill,702,,2007,67,1111,425,Active,,,http://www.redfin.com/CA/San-Francisco/888-7th-St-94107/unit-LL-50/home/17305867,San Francisco MLS,481363,N,Y,37.7703795,-122.4010623
MLS Listing,,Condo/Co-op,755 Tennessee St #4,San Francisco,CA,94107,1750000,2,2.0,Central Waterfront,1684,,1998,94,1039,483,Active,,,http://www.redfin.com/CA/San-Francisco/755-Tennessee-St-94107/unit-4/home/929005,San Francisco MLS,479932,N,Y,37.7623361,-122.3893544
MLS Listing,,Condo/Co-op,55 Vandewater St #1,San Francisco,CA,94133,699000,1,1.0,North Beach,665,,1980,1,1051,420,Active,,,http://www.redfin.com/CA/San-Francisco/55-Vandewater-St-94133/unit-1/home/2032894,San Francisco MLS,484203,N,Y,37.8051031,-122.4128561
MLS Listing,,Multi-Family (2-4 Unit),602-604 Mississippi St,San Francisco,CA,94107,1388000,4,2.0,Potrero Hill,2815,2495,1900,1,493,,Active,,,http://www.redfin.com/CA/San-Francisco/602-Mississippi-St-94107/home/1526832,San Francisco MLS,484198,N,Y,37.7588653,-122.3945418
MLS Listing,,Condo/Co-op,181 Fremont Unit 61D,San Francisco,CA,94105,4315000,2,2.0,Yerba Buena,1637,,2018,1,2636,2738,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-61D/home/164229219,San Francisco MLS,484197,N,Y,37.7898082,-122.3953565
MLS Listing,,Condo/Co-op,181 Fremont Unit 60C,San Francisco,CA,94105,2950000,2,2.5,Yerba Buena,1262,,2018,1,2338,2627,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-60C/home/164229200,San Francisco MLS,483941,N,Y,37.7898082,-122.3953565
MLS Listing,,Single Family Residential,3718 Divisadero St,San Francisco,CA,94123,2199000,3,1.5,Marina,1498,2343,1926,1,1468,,Active,April-28-2019 01:00 AM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/3718-Divisadero-St-94123/home/1127540,San Francisco MLS,484018,N,Y,37.8040815,-122.4433842
MLS Listing,,Condo/Co-op,2579 Folsom St,San Francisco,CA,94110,999000,2,1.0,Inner Mission,,,,1,,350,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/2579-Folsom-St-94110/home/1347006,San Francisco MLS,484170,N,Y,37.756109,-122.414066
MLS Listing,,Condo/Co-op,1080 Sutter St #601,San Francisco,CA,94109,1298000,3,2.0,Downtown,1226,,2014,1,1059,809,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1080-Sutter-St-94109/unit-601/home/69054805,Bridge MLS,40863062,N,Y,37.7882378,-122.4180578
MLS Listing,,Single Family Residential,30 Conrad St,San Francisco,CA,94131,3295000,4,3.5,Glen Park,3018,2413,2013,1,1092,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/30-Conrad-St-94131/home/69371880,San Francisco MLS,484091,N,Y,37.737845,-122.436477
MLS Listing,,Condo/Co-op,2250 24th St #335,San Francisco,CA,94107,565000,0,1.0,Potrero Hill,456,,1989,1,1239,430,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/2250-24th-St-94107/unit-335/home/2001049,San Francisco MLS,484183,N,Y,37.7539036,-122.4020126
MLS Listing,,Condo/Co-op,3700 Divisadero St #202,San Francisco,CA,94123,1400000,2,2.0,Marina,1249,,1993,2,1121,625,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/3700-Divisadero-St-94123/unit-202/home/582259,San Francisco MLS,484179,N,Y,37.8039048,-122.4433327
MLS Listing,,Condo/Co-op,1501 Greenwich #503,San Francisco,CA,94123,1995000,3,2.5,Cow Hollow,1459,,2008,2,1367,755,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1501-Greenwich-St-94123/unit-503/home/12434966,San Francisco MLS,484175,N,Y,37.8000643,-122.4246803
MLS Listing,,Condo/Co-op,1722 Larkin,San Francisco,CA,94109,2275000,3,2.0,Nob Hill,1950,,1905,2,1167,295,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1722-Larkin-St-94109/home/163853239,San Francisco MLS,484174,N,Y,37.7937955,-122.4194948
MLS Listing,,Single Family Residential,4004 3Rd St,San Francisco,CA,94124,999998,0,4.0,Bayview,4005,2667,1900,2,250,,Active,,,http://www.redfin.com/CA/San-Francisco/4004-3rd-St-94124/home/163852696,Bridge MLS,40863012,N,Y,37.7410475,-122.3888398
MLS Listing,,Condo/Co-op,1720 Larkin St,San Francisco,CA,94109,2399000,3,2.0,Nob Hill,2270,,1905,2,1057,295,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1720-Larkin-St-94109/home/1216241,San Francisco MLS,484133,N,Y,37.7938916,-122.4193003
MLS Listing,,Single Family Residential,3990 Washington St,SAN FRANCISCO,CA,94118,9950000,6,7.5,SAN FRANCISCO,7600,4443,1909,2,1309,,Active,,,http://www.redfin.com/CA/San-Francisco/3990-Washington-St-94118/home/588772,MLSListings,ML81749076,N,Y,37.7886056,-122.4590863
MLS Listing,,Condo/Co-op,1516 Clay St,San Francisco,CA,94109,699000,2,1.0,Nob Hill,,,1910,2,,433,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1516-Clay-St-94109/home/163850566,San Francisco MLS,483355,N,Y,37.7928626,-122.4182704
MLS Listing,,Condo/Co-op,460 31st Ave,San Francisco,CA,94121,2195000,4,3.5,Central Richmond,2450,,,2,896,519,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/460-31st-Ave-94121/home/1269900,San Francisco MLS,484090,N,Y,37.780632,-122.491025
MLS Listing,,Condo/Co-op,501 Crescent Way #5306,San Francisco,CA,94134,780000,2,2.0,Candlestick Point,1156,,2006,2,675,505,Active,April-28-2019 02:00 PM,April-28-2019 04:30 PM,http://www.redfin.com/CA/San-Francisco/501-Crescent-Way-94134/unit-5306/home/22888820,San Francisco MLS,484164,N,Y,37.7119288,-122.3886055
MLS Listing,,Single Family Residential,1650 Bay St,San Francisco,CA,94123,2995000,3,2.5,Marina,2399,2212,,2,1248,,Active,,,http://www.redfin.com/CA/San-Francisco/1650-Bay-St-94123/home/1988134,San Francisco MLS,484128,N,Y,37.803198,-122.434241
MLS Listing,,Single Family Residential,543 Oak Park Dr,San Francisco,CA,94131,1950000,3,3.0,Forest Knolls,1780,3524,1962,2,1096,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/543-Oak-Park-Dr-94131/home/1429006,San Francisco MLS,482212,N,Y,37.7560395,-122.4605458
MLS Listing,,Single Family Residential,18 Joy St,San Francisco,CA,94110,995000,3,1.5,Bernal Heights,,,1900,2,,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/18-Joy-St-94110/home/1997631,San Francisco MLS,484155,N,Y,37.7439756,-122.4069286
MLS Listing,,Multi-Family (2-4 Unit),1428 1428A Castro St,San Francisco,CA,94114,1875000,5,3.0,Noe Valley,2309,2000,1908,2,812,,Active,,,http://www.redfin.com/CA/San-Francisco/1428-Castro-St-94114/home/1744057,San Francisco MLS,483955,N,Y,37.750044,-122.434243
MLS Listing,,Multi-Family (2-4 Unit),757 Natoma St,San Francisco,CA,94103,1998000,,,South of Market,3118,1875,1909,2,641,,Active,,,http://www.redfin.com/CA/San-Francisco/757-Natoma-St-94103/home/1054216,San Francisco MLS,484150,N,Y,37.7758649,-122.4128931
MLS Listing,,Condo/Co-op,354 24th Ave #1,San Francisco,CA,94121,1795000,4,3.0,Central Richmond,1960,,2000,2,916,345,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/354-24th-Ave-94121/unit-1/home/1458314,San Francisco MLS,483916,N,Y,37.7829137,-122.4835352
MLS Listing,,Single Family Residential,155 Caselli Ave,San Francisco,CA,94114,2895000,3,3.0,Eureka Valley/Dolore,,,,2,,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/155-Caselli-Ave-94114/home/1840546,San Francisco MLS,484148,N,Y,37.759413,-122.44208
MLS Listing,,Single Family Residential,215 Panorama Dr,San Francisco,CA,94131,1175000,2,2.0,Midtown Terrace,1966,3628,1956,2,598,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/215-Panorama-Dr-94131/home/1421502,San Francisco MLS,483954,N,Y,37.7488326,-122.4522749
MLS Listing,,Multi-Family (2-4 Unit),2622-2624 19th St,San Francisco,CA,94110,2195000,5,3.5,Inner Mission,,2495,1910,2,,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/2622-19th-St-94110/home/1868400,San Francisco MLS,484101,N,Y,37.7607846,-122.4087874
MLS Listing,,Condo/Co-op,1567 Clay St,San Francisco,CA,94109,2795000,3,2.0,Nob Hill,2125,,1908,2,1315,400,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1567-Clay-St-94109/home/1059106,San Francisco MLS,484066,N,Y,37.792466,-122.418775
MLS Listing,,Vacant Land,819 Francisco,San Francisco,CA,94109,6999000,,,Russian Hill,,3953,,2,,,Active,,,http://www.redfin.com/CA/San-Francisco/819-Francisco-St-94109/home/539404,San Francisco MLS,480916,N,Y,37.8038536,-122.4190966
MLS Listing,,Condo/Co-op,1075 Market St #512,San Francisco,CA,94103,1225240,1,1.0,South of Market,870,,2018,2,1408,785,Active,,,http://www.redfin.com/CA/San-Francisco/1075-Market-St-94103/unit-512/home/144096136,San Francisco MLS,484135,N,Y,37.780644,-122.411615
MLS Listing,,Townhouse,3133 24th St #8,San Francisco,CA,94110,1395000,2,2.0,Inner Mission,1222,,2014,2,1142,485,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/3133-24th-St-94110/unit-8/home/52594990,San Francisco MLS,483989,N,Y,37.7522523,-122.4147512
